,AÃ‘O,SEMESTRE,N_VICTIMAS,POBLACION_TOTAL,TASA,TASA_ANTERIOR,VARIACION_TASA
0,2016,1,67,3002178,2.231713109615752,0.0,0.0
1,2016,2,82,3002178,2.7313503729625626,2.231713109615752,22.39
2,2017,1,81,3021444,2.6808373744474494,2.7313503729625626,-1.85
3,2017,2,79,3021444,2.614643859028994,2.6808373744474494,-2.47
4,2018,1,76,3040889,2.4992691282056003,2.614643859028994,-4.41
5,2018,2,85,3040889,2.7952352091773163,2.4992691282056003,11.84
6,2019,1,59,3060508,1.9277845377303375,2.7952352091773163,-31.03
7,2019,2,46,3060508,1.503018453145687,1.9277845377303375,-22.03
8,2020,1,31,3080306,1.0063935206437282,1.503018453145687,-33.04
9,2020,2,56,3080306,1.8180011985822189,1.0063935206437282,80.65
10,2021,1,55,3100282,1.7740321686865905,1.8180011985822189,-2.42
11,2021,2,42,3100282,1.35471547426976,1.7740321686865905,-23.64
